Date,Calories In,Calories Burned,Steps,Distance,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
8/8/2023,"2,286","2,372","6,042",2.6,811,154,12,20,837
8/9/2023,"1,750","2,090","4,156",1.85,947,133,0,0,519
8/10/2023,"1,404","2,204","4,758",2.06,"1,291",132,7,10,660
8/11/2023,"2,608","2,931","5,478",2.06,563,214,54,32,"1,507"
8/12/2023,"2,819","2,254","3,421",1.52,624,164,0,0,649
8/13/2023,"2,977","3,271","19,712",8.76,794,113,7,169,"1,840"
8/14/2023,"1,881","2,166","5,910",2.6,886,132,2,15,636
8/15/2023,"2,335","2,994","13,441",5.98,715,140,14,108,"1,551"
8/16/2023,"1,555","2,205","5,097",2.27,840,158,9,1,667
8/17/2023,"1,742","2,209","4,524",1.95,878,142,6,4,638
8/18/2023,"2,400","1,884","1,895",0.84,"1,376",64,0,0,254
8/19/2023,"2,964","2,289","7,386",3.28,"1,271",139,16,14,788
8/20/2023,"1,949","2,582","8,177",3.63,635,262,0,0,"1,107"
8/21/2023,"1,555","2,367","7,070",3.1,885,212,7,7,910
8/22/2023,"1,855","2,174","5,671",2.51,762,143,7,3,638
8/23/2023,"1,541","2,108","4,508",2,"1,051",142,0,0,564
8/24/2023,"1,838","2,389","6,727",2.96,830,172,26,5,880
8/25/2023,"2,137","2,801","10,254",4.56,744,239,11,39,"1,349"
8/26/2023,"2,520","2,441","6,855",3.05,595,208,4,10,920
8/27/2023,"1,994","3,146","16,759",6.75,658,175,18,117,"1,724"
8/28/2023,"1,706","2,216","4,947",2.14,822,143,20,5,699
8/29/2023,"1,704","2,848","13,000",5.78,775,154,22,87,"1,441"
8/30/2023,"1,986","2,217","4,458",1.92,"1,216",133,7,5,617
8/31/2023,0,662,908,0.4,461,24,7,0,127
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
