Start Time,End Time,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep
2023-08-30 6:08PM,2023-08-30 7:27PM,29,17,0,79,N/A,N/A,N/A
2023-08-28 11:55PM,2023-08-29 6:37AM,352,50,23,402,33,247,72
2023-08-27 11:07PM,2023-08-28 6:37AM,379,71,34,450,45,276,58
2023-08-27 3:00AM,2023-08-27 10:52AM,424,48,25,472,84,229,111
2023-08-26 12:00AM,2023-08-26 10:23AM,540,83,47,623,100,310,130
2023-08-24 11:45PM,2023-08-25 6:32AM,362,45,19,407,55,234,73
2023-08-23 11:47PM,2023-08-24 6:34AM,347,60,25,407,53,246,48
2023-08-23 2:39AM,2023-08-23 6:47AM,214,33,18,247,34,130,50
2023-08-22 6:28PM,2023-08-22 8:08PM,65,17,2,100,N/A,N/A,N/A
2023-08-21 11:30PM,2023-08-22 6:35AM,369,56,26,425,61,258,50
2023-08-21 3:02AM,2023-08-21 8:31AM,280,49,18,329,34,182,64
2023-08-20 4:46AM,2023-08-20 1:50PM,484,59,31,543,102,284,98
2023-08-16 11:43PM,2023-08-17 6:33AM,354,56,26,410,56,233,65
2023-08-15 11:31PM,2023-08-16 6:43AM,364,68,28,432,78,220,66
2023-08-14 10:49PM,2023-08-15 6:32AM,398,65,26,463,57,232,109
2023-08-13 11:56PM,2023-08-14 6:41AM,340,65,30,405,44,238,58
2023-08-13 3:06AM,2023-08-13 9:03AM,322,35,27,357,38,196,88
2023-08-12 3:56PM,2023-08-12 5:57PM,102,18,0,120,N/A,N/A,N/A
2023-08-12 5:03AM,2023-08-12 1:55PM,440,92,17,532,42,314,84
2023-08-11 2:43AM,2023-08-11 12:20PM,493,84,38,577,105,320,68
2023-08-09 12:43AM,2023-08-09 6:43AM,316,44,22,360,47,200,69
2023-08-07 11:10PM,2023-08-08 6:34AM,382,61,30,443,49,267,66
2023-08-07 12:39AM,2023-08-07 6:33AM,298,56,25,354,42,206,50
2023-08-06 2:14AM,2023-08-06 11:26AM,475,77,40,552,80,304,91
2023-08-05 1:46AM,2023-08-05 10:58AM,477,75,38,552,52,336,89
2023-08-04 6:14PM,2023-08-04 7:52PM,85,13,0,98,N/A,N/A,N/A
2023-08-03 10:58PM,2023-08-04 6:36AM,391,67,29,458,54,237,100
2023-08-02 11:25PM,2023-08-03 7:26AM,402,79,30,481,82,232,88
2023-08-01 11:57PM,2023-08-02 6:41AM,351,53,23,404,50,221,80
2023-07-31 12:36AM,2023-07-31 6:33AM,301,56,31,357,48,178,75
2023-07-30 1:40AM,2023-07-30 10:38AM,456,82,38,538,41,336,79
2023-07-29 6:01AM,2023-07-29 2:58PM,457,80,34,537,80,242,135
2023-07-28 12:39AM,2023-07-28 6:40AM,329,32,20,361,59,230,40
2023-07-26 11:41PM,2023-07-27 6:32AM,349,62,35,411,47,251,51
2023-07-25 11:19PM,2023-07-26 6:42AM,381,62,27,443,71,241,69
2023-07-24 11:22PM,2023-07-25 6:32AM,373,57,26,430,53,293,27
2023-07-23 3:08AM,2023-07-23 1:06PM,487,111,30,598,24,338,125
2023-07-22 2:06AM,2023-07-22 12:26PM,528,92,53,620,78,355,95
2023-07-21 2:06PM,2023-07-21 6:06PM,202,38,15,240,24,131,47
2023-07-21 12:00AM,2023-07-21 6:32AM,338,54,27,392,66,219,53
2023-07-20 5:56PM,2023-07-20 7:02PM,60,5,0,65,N/A,N/A,N/A
2023-07-20 12:53AM,2023-07-20 6:38AM,296,49,27,345,30,255,11
2023-07-19 5:43PM,2023-07-19 7:18PM,89,6,1,95,N/A,N/A,N/A
2023-07-18 11:25PM,2023-07-19 6:32AM,344,83,27,427,66,219,59
2023-07-17 11:46PM,2023-07-18 6:39AM,356,57,27,413,22,281,53
2023-07-16 3:17AM,2023-07-16 12:11PM,461,73,36,534,73,273,115
2023-07-14 10:54PM,2023-07-15 11:03AM,624,105,65,729,152,352,120
2023-07-13 11:32PM,2023-07-14 6:42AM,383,47,26,430,54,271,58
2023-07-12 11:53PM,2023-07-13 6:37AM,359,45,24,404,53,243,63
2023-07-11 11:01PM,2023-07-12 6:29AM,386,62,25,448,45,284,57
2023-07-10 11:54PM,2023-07-11 6:29AM,352,43,29,395,74,221,57
